"timestamp","log_control_reduction","log_control_ecoli","control_total_cod_mgcod_per_gvss","control_total_pn_to_ps","control_lb_cod_mgcod_per_gvss","control_lb_proteins_mg_per_gvss","control_lb_carbs_mg_per_gvss","control_tb_cod_mgcod_per_gvss","control_tb_proteins_mg_per_gvss","control_tb_carbs_mgcarb_per_gvss","control_tb_pn_to_ps","AB9A_DO_mg_per_L","AB9A_NO5_mgN_per_L","AB9A_NH3_mg_N_per_L","AB9C_NH3_mg_N_per_L","NSI_TEMP_C","Clarifier_9_SLR_ppd_sf","AB9_INF_FLOW_MGD","AB9A_AIRFLOW_SCFM","Control_NSEC_ASRT","Control_ASRT_d","Control_Floc_SRT_d","Control_Granule_SRT_d","Control_AGS_Weighted_SRT_d","Control_Floc_percent","Control_Granule_percent"
2022-09-12,3.20930637385205,11.5617156291397,563.7,0.52,22.89,4.27,7.99,540.81,271.09,207.12,0.51,7.13888277572634,0,0,5,22.4560242278843,19.8457546234131,0,534.816391892915,3.366891861,3.713467001,3.713467001,3.97369657,3.730508924,93.45119679,6.548803214
2022-09-14,-0.0388398333162634,11.5617156291397,563.7,0.52,22.89,4.27,7.99,540.81,271.09,207.12,0.51,7.04219587058793,0,0,5,22.5943879120542,19.8457546234131,0,543.000411006445,3.227658033,3.556247165,3.556247165,3.868970878,3.581524202,91.91713449,8.082865511
2022-09-19,1.12045720101445,11.0806029026922,474.8,0.52,19.14,4.27,7.99,455.62,271.09,207.12,0.51,6.81147336134369,0,0,5,22.6026753727081,19.8457546234131,0,536.360521787081,3.2501266,3.556247165,3.556247165,3.868970878,3.581524202,91.91713449,8.082865511
2022-09-21,3.79440124708846,11.9511803959014,474.8,0.52,19.14,4.27,7.99,455.62,271.09,207.12,0.51,7.97648362288375,0,0,5,22.3541679593403,19.8457546234131,0,556.214956586642,3.482518911,3.65836648,3.65836648,4.021799284,3.691208349,90.96342761,9.036572391
2022-09-26,5.63895531157695,10.3352699689617,474.8,0.52,19.14,4.27,7.99,455.62,271.09,207.12,0.51,7.32517480251667,0,0,5,22.3132664247837,19.8457546234131,0,536.250045904761,9.76516819,3.65836648,3.65836648,4.021799284,3.691208349,90.96342761,9.036572391
2022-09-29,6.96616604113855,9.49551931420985,474.8,0.52,19.14,4.27,7.99,455.62,271.09,207.12,0.51,7.04183387342768,0,0,5,22.2754104465933,19.8457546234131,0,525.581525032369,6.528345585,3.65836648,3.65836648,4.021799284,3.691208349,90.96342761,9.036572391
2022-10-03,7.21791020728598,9.0825070004663,474.8,0.52,19.14,4.27,7.99,455.62,271.09,207.12,0.51,7.71955731047559,0,0,5,22.1706851328844,19.8457546234131,0,559.227853685069,5.521759987,3.65836648,3.65836648,4.021799284,3.691208349,90.96342761,9.036572391
2022-10-13,5.35046188005429,10.6237634004843,474.8,0.52,19.14,4.27,7.99,455.62,271.09,207.12,0.51,8.3989907127938,0,0,5,21.4408983136106,19.8457546234131,0,511.117632846009,4.470857143,3.65836648,3.65836648,4.021799284,3.691208349,90.96342761,9.036572391
2022-10-18,6.43826831210904,10.5635948790179,474.8,0.52,19.14,4.27,7.99,455.62,271.09,207.12,0.51,8.49608633673101,0,0,5,21.4128358966333,19.8457546234131,0,514.399498458396,5.385267735,5.990675546,5.990675546,6.42252987,6.01971366,93.27594682,6.724053181
2022-10-26,5.35947178970137,10.0078475678604,474.8,0.52,19.14,4.27,7.99,455.62,271.09,207.12,0.51,8.74336177738477,0,0,5,21.015096542986,19.8457546234131,0,520.727753748669,4.109733105,5.990675546,5.990675546,6.42252987,6.01971366,93.27594682,6.724053181
